127.0.0.1 - - [02/Jul/2022:20:48:06 +0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:51:37 +0200] "GET /FitnessCenter/rest/login/loggedUser HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:51:40 +0200] "GET /FitnessCenter/rest/facilities/GetAll HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:51:40 +0200] "GET /FitnessCenter/rest/facilities/GetAll HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:51:44 +0200] "GET /FitnessCenter/rest/facilities/GetAll HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:51:44 +0200] "GET /FitnessCenter/rest/facilities/GetAll HTTP/1.1" 200 1413
0:0:0:0:0:0:0:1 - - [02/Jul/2022:20:56:41 +0200] "GET /FitnessCenter/rest/login/loggedUser HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:01:28 +0200] "GET /FitnessCenter/rest/login/loggedUser HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:04:18 +0200] "OPTIONS /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:04:18 +0200] "POST /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:12:20 +0200] "OPTIONS /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:12:22 +0200] "POST /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:14:52 +0200] "OPTIONS /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:14:52 +0200] "POST /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [02/Jul/2022:21:15:00 +0200] "OPTIONS /FitnessCenter/rest/login/logInStatus HTTP/1.1" 200 -
